index,label,f_SS_ROI,events_per_yr,counts_per_1000d
1,cryo_barrel_Bi214,3.489000e-05,1.180100e+00,3.2309
2,cryo_head_top_Bi214,8.070000e-06,2.977800e-02,0.0815
3,cryo_head_bot_Bi214,7.700000e-07,2.017400e-02,0.0552
7,fc_rings_Bi214,6.294000e-05,5.010000e-01,1.3717
9,fc_ptfe_Bi214,7.754000e-05,1.395700e-01,0.3821
11,fc_ressens_Bi214,6.294000e-05,1.699400e+00,4.6527
13,fc_holder_top_Bi214,1.140000e-06,3.237600e-02,0.0886
15,fc_holder_bot_Bi214,1.322000e-05,3.754500e-01,1.0279
17,pmt_top_Bi214,8.050000e-06,7.744100e-01,2.1202
19,pmt_bottom_Bi214,2.283000e-05,2.198500e+00,6.0192
0,TOTAL,0,6.950758e+00,19.0301
