source,region,isotope,gammas_produced_per_yr,gammas_entering_skin_per_yr,gammas_exiting_skin_per_yr,mean_cos_theta_exiting
OCV shell,barrel,Bi214,1.51e+04,4.18e+03,4.18e+03,0.6137
OCV shell,barrel,Tl208,9.61e+05,2.69e+05,2.69e+05,0.6119
OCV heads,endcap,Bi214,1.54e+04,3.71e+03,3.71e+03,0.6307
OCV heads,endcap,Tl208,9.79e+05,2.40e+05,2.40e+05,0.6288
ICV shell,barrel,Bi214,1.57e+04,6.09e+03,6.09e+03,0.5554
ICV shell,barrel,Tl208,1.00e+06,3.90e+05,3.90e+05,0.5545
ICV heads,endcap,Bi214,9.75e+03,3.68e+03,3.68e+03,0.5598
ICV heads,endcap,Tl208,6.21e+05,2.36e+05,2.36e+05,0.5589
Extra Ti (flanges etc),endcap,Bi214,4.54e+04,2.25e+04,2.25e+04,0.5000
Extra Ti (flanges etc),endcap,Tl208,2.89e+06,1.43e+06,1.43e+06,0.5000
Cryostat insulation,barrel,Bi214,7.49e+04,2.36e+04,2.36e+04,0.5956
Cryostat insulation,barrel,Tl208,1.22e+06,3.87e+05,3.87e+05,0.5941
